version,filename,downloads_30d
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,60099
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl,10309
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,10278
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,7547
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,6941
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,6055
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl,5396
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,5383
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4999
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4721
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,4451
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4316
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,2510
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,2488
1.0.0,tzfpy-1.0.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,2470
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1501
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1097
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_11_0_arm64.whl,837
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_x86_64.whl,746
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,746
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,680
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_10_12_x86_64.whl.metadata,569
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl.metadata,566
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,550
1.1.3,tzfpy-1.1.3-cp310-abi3-musllinux_1_2_aarch64.whl,548
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_x86_64.whl,419
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_x86_64.whl.metadata,419
1.0.0,tzfpy-1.0.0-cp313-cp313t-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,287
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_aarch64.whl.metadata,213
1.1.2,tzfpy-1.1.2-cp310-abi3-musllinux_1_2_aarch64.whl,212
1.1.2,tzfpy-1.1.2.tar.gz,206
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_x86_64.whl,152
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_x86_64.whl.metadata,151
1.1.1,tzfpy-1.1.1-cp310-abi3-win_amd64.whl,123
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_10_12_x86_64.whl,111
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl.metadata,109
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,103
0.16.0,tzfpy-0.16.0-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,86
0.15.2,tzfpy-0.15.2-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,77
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,70
1.1.0,tzfpy-1.1.0-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,50
1.1.1,tzfpy-1.1.1-cp310-abi3-macosx_11_0_arm64.whl.metadata,48
0.16.4,tzfpy-0.16.4-cp313-cp313t-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,47
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,44
1.1.0,tzfpy-1.1.0-cp310-abi3-musllinux_1_2_x86_64.whl,42
0.16.4,tzfpy-0.16.4-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,41
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,29
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,28
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,24
1.1.1,tzfpy-1.1.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,22
1.1.1,tzfpy-1.1.1-cp310-abi3-win_amd64.whl.metadata,22
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_11_0_arm64.whl,19
1.0.0,tzfpy-1.0.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,15
0.16.0,tzfpy-0.16.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,13
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_11_0_arm64.whl.metadata,9
0.15.5,tzfpy-0.15.5-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,8
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl,7
1.1.0,tzfpy-1.1.0-cp310-abi3-win_amd64.whl,7
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl,7
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,6
1.0.0,tzfpy-1.0.0-cp39-abi3-win_amd64.whl,6
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_armv7l.whl,6
1.1.1,tzfpy-1.1.1-cp310-abi3-musllinux_1_2_armv7l.whl.metadata,6
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,6
1.0.0,tzfpy-1.0.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,5
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_11_0_arm64.whl,5
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,5
0.15.2,tzfpy-0.15.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,4
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,4
0.16.4,tzfpy-0.16.4-cp39-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,4
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_aarch64.whl,4
1.0.0,tzfpy-1.0.0-cp39-abi3-musllinux_1_1_aarch64.whl.metadata,4
1.0.1,tzfpy-1.0.1-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,4
1.1.3,tzfpy-1.1.3-cp310-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,4
1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl,4
0.15.2,tzfpy-0.15.2-cp312-cp312-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,3
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,3
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,3
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl.metadata,3
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl,3
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,2
0.15.5,tzfpy-0.15.5-cp312-cp312-manylinux_2_17_aarch64.manylinux2014_aarch64.whl.metadata,2
0.15.6,tzfpy-0.15.6-cp38-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,2
0.16.4,tzfpy-0.16.4-cp39-abi3-win_amd64.whl,2
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl,2
1.1.1,tzfpy-1.1.1-cp314-cp314t-macosx_11_0_arm64.whl,2
1.1.1,tzfpy-1.1.1.tar.gz,2
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_11_0_arm64.whl.metadata,2
1.1.3,tzfpy-1.1.3-cp310-abi3-macosx_10_12_x86_64.whl,2
0.15.0,tzfpy-0.15.0-cp38-cp38-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl.metadata,1
0.15.0,tzfpy-0.15.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.15.2,tzfpy-0.15.2-cp310-cp310-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,1
0.15.5,tzfpy-0.15.5-cp310-cp310-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl.metadata,1
0.15.5,tzfpy-0.15.5-cp311-cp311-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.15.5,tzfpy-0.15.5.tar.gz,1
0.16.0,tzfpy-0.16.0-cp39-abi3-macosx_10_12_x86_64.macosx_11_0_arm64.macosx_10_12_universal2.whl,1
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
0.16.2,tzfpy-0.16.2-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata,1
1.0.1,tzfpy-1.0.1-cp310-abi3-macosx_10_12_x86_64.whl.metadata,1
1.1.0,tzfpy-1.1.0-cp310-abi3-macosx_11_0_arm64.whl.metadata,1
1.1.1,tzfpy-1.1.1-cp314-cp314t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-macosx_10_12_x86_64.whl,1
1.1.2,tzfpy-1.1.2-cp310-abi3-win_amd64.whl.metadata,1
1.1.3,tzfpy-1.1.3-cp310-abi3-win_amd64.whl.metadata,1